arrangement,condition,block,pa_index,pa_type,distance_category,row,column
1,schema_c,1,1,schema_pa,,2,3
1,schema_c,1,2,schema_pa,,10,3
1,schema_c,1,3,schema_pa,near,7,4
1,schema_c,1,4,schema_pa,near,3,6
1,schema_c,1,5,schema_pa,,8,11
1,schema_c,1,6,schema_pa,,11,10
1,schema_c,2,1,schema_pa,,2,3
1,schema_c,2,2,schema_pa,,10,3
1,schema_c,2,3,schema_pa,near,7,4
1,schema_c,2,4,schema_pa,near,3,6
1,schema_c,2,5,schema_pa,,8,11
1,schema_c,2,6,schema_pa,,11,10
1,schema_c,1,1,new_pa,near,7,5
1,schema_c,1,2,new_pa,near,4,6
1,schema_c,1,3,new_pa,far,9,7
1,schema_c,1,4,new_pa,far,6,8
1,schema_c,1,5,new_pa,,5,2
1,schema_c,1,6,new_pa,,3,9
1,random_loc,1,1,schema_pa,,11,5
1,random_loc,1,2,schema_pa,,2,10
1,random_loc,1,3,schema_pa,,10,11
1,random_loc,1,4,schema_pa,,6,11
1,random_loc,1,5,schema_pa,,4,4
1,random_loc,1,6,schema_pa,,8,2
1,random_loc,2,1,schema_pa,,2,3
1,random_loc,2,2,schema_pa,,10,3
1,random_loc,2,3,schema_pa,near,7,4
1,random_loc,2,4,schema_pa,near,3,6
1,random_loc,2,5,schema_pa,,8,11
1,random_loc,2,6,schema_pa,,11,10
1,random_loc,1,1,new_pa,near,7,5
1,random_loc,1,2,new_pa,near,4,6
1,random_loc,1,3,new_pa,far,9,7
1,random_loc,1,4,new_pa,far,6,8
1,random_loc,1,5,new_pa,,5,2
1,random_loc,1,6,new_pa,,3,9
1,schema_ic,1,1,schema_pa,near,7,4
1,schema_ic,1,2,schema_pa,,8,11
1,schema_ic,1,3,schema_pa,,11,10
1,schema_ic,1,4,schema_pa,,10,3
1,schema_ic,1,5,schema_pa,,2,3
1,schema_ic,1,6,schema_pa,near,3,6
1,schema_ic,2,1,schema_pa,,2,3
1,schema_ic,2,2,schema_pa,,10,3
1,schema_ic,2,3,schema_pa,near,7,4
1,schema_ic,2,4,schema_pa,near,3,6
1,schema_ic,2,5,schema_pa,,8,11
1,schema_ic,2,6,schema_pa,,11,10
1,schema_ic,1,1,new_pa,near,7,5
1,schema_ic,1,2,new_pa,near,4,6
1,schema_ic,1,3,new_pa,far,9,7
1,schema_ic,1,4,new_pa,far,6,8
1,schema_ic,1,5,new_pa,,5,2
1,schema_ic,1,6,new_pa,,3,9
2,schema_c,1,1,schema_pa,,9,2
2,schema_c,1,2,schema_pa,,11,3
2,schema_c,1,3,schema_pa,,2,5
2,schema_c,1,4,schema_pa,near,9,6
2,schema_c,1,5,schema_pa,near,7,10
2,schema_c,1,6,schema_pa,,4,11
2,schema_c,2,1,schema_pa,,9,2
2,schema_c,2,2,schema_pa,,11,3
2,schema_c,2,3,schema_pa,,2,5
2,schema_c,2,4,schema_pa,near,9,6
2,schema_c,2,5,schema_pa,near,7,10
2,schema_c,2,6,schema_pa,,4,11
