arrangement,learning_stage,condition,block,pa_index,pa_type,distance_category,row,column
1,schema_pa,schema_c,1,1,schema_pa,,2,3
1,schema_pa,schema_c,1,2,schema_pa,,10,3
1,schema_pa,schema_c,1,3,schema_pa,near,7,4
1,schema_pa,schema_c,1,4,schema_pa,near,3,6
1,schema_pa,schema_c,1,5,schema_pa,,8,11
1,schema_pa,schema_c,1,6,schema_pa,,11,10
1,schema_pa,schema_c,2,1,schema_pa,,2,3
1,schema_pa,schema_c,2,2,schema_pa,,10,3
1,schema_pa,schema_c,2,3,schema_pa,near,7,4
1,schema_pa,schema_c,2,4,schema_pa,near,3,6
1,schema_pa,schema_c,2,5,schema_pa,,8,11
1,schema_pa,schema_c,2,6,schema_pa,,11,10
1,new_pa,schema_c,1,1,new_pa,near,7,5
1,new_pa,schema_c,1,2,new_pa,near,4,6
1,new_pa,schema_c,1,3,new_pa,far,9,7
1,new_pa,schema_c,1,4,new_pa,far,6,8
1,new_pa,schema_c,1,5,new_pa,,5,2
1,new_pa,schema_c,1,6,new_pa,,3,9
1,new_pa,schema_c,1,1,schema_pa,,2,3
1,new_pa,schema_c,1,2,schema_pa,,10,3
1,new_pa,schema_c,1,3,schema_pa,near,7,4
1,new_pa,schema_c,1,4,schema_pa,near,3,6
1,new_pa,schema_c,1,5,schema_pa,,8,11
1,new_pa,schema_c,1,6,schema_pa,,11,10
1,schema_pa,random_loc,1,1,schema_pa,,11,5
1,schema_pa,random_loc,1,2,schema_pa,,2,10
1,schema_pa,random_loc,1,3,schema_pa,,10,11
1,schema_pa,random_loc,1,4,schema_pa,,6,11
1,schema_pa,random_loc,1,5,schema_pa,,4,4
1,schema_pa,random_loc,1,6,schema_pa,,8,2
1,schema_pa,random_loc,2,1,schema_pa,,2,3
1,schema_pa,random_loc,2,2,schema_pa,,10,3
1,schema_pa,random_loc,2,3,schema_pa,near,7,4
1,schema_pa,random_loc,2,4,schema_pa,near,3,6
1,schema_pa,random_loc,2,5,schema_pa,,8,11
1,schema_pa,random_loc,2,6,schema_pa,,11,10
1,new_pa,random_loc,1,1,new_pa,near,7,5
1,new_pa,random_loc,1,2,new_pa,near,4,6
1,new_pa,random_loc,1,3,new_pa,far,9,7
1,new_pa,random_loc,1,4,new_pa,far,6,8
1,new_pa,random_loc,1,5,new_pa,,5,2
1,new_pa,random_loc,1,6,new_pa,,3,9
1,new_pa,random_loc,1,1,schema_pa,,4,11
1,new_pa,random_loc,1,2,schema_pa,,4,2
1,new_pa,random_loc,1,3,schema_pa,,8,9
1,new_pa,random_loc,1,4,schema_pa,,9,5
1,new_pa,random_loc,1,5,schema_pa,,11,7
1,new_pa,random_loc,1,6,schema_pa,,2,7
1,schema_pa,schema_ic,1,1,schema_pa,near,7,4
1,schema_pa,schema_ic,1,2,schema_pa,,8,11
1,schema_pa,schema_ic,1,3,schema_pa,,11,10
1,schema_pa,schema_ic,1,4,schema_pa,,10,3
1,schema_pa,schema_ic,1,5,schema_pa,,2,3
1,schema_pa,schema_ic,1,6,schema_pa,near,3,6
1,schema_pa,schema_ic,2,1,schema_pa,,2,3
1,schema_pa,schema_ic,2,2,schema_pa,,10,3
1,schema_pa,schema_ic,2,3,schema_pa,near,7,4
1,schema_pa,schema_ic,2,4,schema_pa,near,3,6
1,schema_pa,schema_ic,2,5,schema_pa,,8,11
1,schema_pa,schema_ic,2,6,schema_pa,,11,10
1,new_pa,schema_ic,1,1,new_pa,near,7,5
1,new_pa,schema_ic,1,2,new_pa,near,4,6
1,new_pa,schema_ic,1,3,new_pa,far,9,7
1,new_pa,schema_ic,1,4,new_pa,far,6,8
1,new_pa,schema_ic,1,5,new_pa,,5,2
1,new_pa,schema_ic,1,6,new_pa,,3,9
1,new_pa,schema_ic,1,1,schema_pa,,10,3
1,new_pa,schema_ic,1,2,schema_pa,,11,10
1,new_pa,schema_ic,1,3,schema_pa,near,7,4
1,new_pa,schema_ic,1,4,schema_pa,near,3,6
1,new_pa,schema_ic,1,5,schema_pa,,8,11
1,new_pa,schema_ic,1,6,schema_pa,,2,3
2,schema_pa,schema_c,1,1,schema_pa,,9,2
2,schema_pa,schema_c,1,2,schema_pa,,11,3
2,schema_pa,schema_c,1,3,schema_pa,,2,5
2,schema_pa,schema_c,1,4,schema_pa,near,9,6
2,schema_pa,schema_c,1,5,schema_pa,near,7,10
2,schema_pa,schema_c,1,6,schema_pa,,4,11
2,schema_pa,schema_c,2,1,schema_pa,,9,2
2,schema_pa,schema_c,2,2,schema_pa,,11,3
2,schema_pa,schema_c,2,3,schema_pa,,2,5
2,schema_pa,schema_c,2,4,schema_pa,near,9,6
2,schema_pa,schema_c,2,5,schema_pa,near,7,10
2,schema_pa,schema_c,2,6,schema_pa,,4,11
2,new_pa,schema_c,1,1,new_pa,near,8,6
2,new_pa,schema_c,1,2,new_pa,near,7,9
2,new_pa,schema_c,1,3,new_pa,far,6,4
2,new_pa,schema_c,1,4,new_pa,far,5,7
2,new_pa,schema_c,1,5,new_pa,,3,3
2,new_pa,schema_c,1,6,new_pa,,11,8
2,new_pa,schema_c,1,1,schema_pa,,9,2
2,new_pa,schema_c,1,2,schema_pa,,11,3
2,new_pa,schema_c,1,3,schema_pa,,2,5
2,new_pa,schema_c,1,4,schema_pa,near,9,6
2,new_pa,schema_c,1,5,schema_pa,near,7,10
2,new_pa,schema_c,1,6,schema_pa,,4,11
2,schema_pa,random_loc,1,1,schema_pa,,3,8
2,schema_pa,random_loc,1,2,schema_pa,,5,2
2,schema_pa,random_loc,1,3,schema_pa,,10,10
2,schema_pa,random_loc,1,4,schema_pa,,2,11
2,schema_pa,random_loc,1,5,schema_pa,,2,2
2,schema_pa,random_loc,1,6,schema_pa,,9,4
2,schema_pa,random_loc,2,1,schema_pa,,9,2
2,schema_pa,random_loc,2,2,schema_pa,,11,3
2,schema_pa,random_loc,2,3,schema_pa,,2,5
2,schema_pa,random_loc,2,4,schema_pa,near,9,6
2,schema_pa,random_loc,2,5,schema_pa,near,7,10
2,schema_pa,random_loc,2,6,schema_pa,,4,11
2,new_pa,random_loc,1,1,new_pa,near,8,6
2,new_pa,random_loc,1,2,new_pa,near,7,9
2,new_pa,random_loc,1,3,new_pa,far,6, 
2,new_pa,random_loc,1,4,new_pa,far,5,7
2,new_pa,random_loc,1,5,new_pa,,3,3
2,new_pa,random_loc,1,6,new_pa,,11,8
2,new_pa,random_loc,1,1,schema_pa,,2,7
2,new_pa,random_loc,1,2,schema_pa,,4,10
2,new_pa,random_loc,1,3,schema_pa,,8,11
2,new_pa,random_loc,1,4,schema_pa,,7,2
2,new_pa,random_loc,1,5,schema_pa,,4,4
2,new_pa,random_loc,1,6,schema_pa,,11,6
2,schema_pa,schema_ic,1,1,schema_pa,near,7,10
2,schema_pa,schema_ic,1,2,schema_pa,,2,5
2,schema_pa,schema_ic,1,3,schema_pa,near,9,6
2,schema_pa,schema_ic,1,4,schema_pa,,4,11
2,schema_pa,schema_ic,1,5,schema_pa,,11,3
2,schema_pa,schema_ic,1,6,schema_pa,,9,2
2,schema_pa,schema_ic,2,1,schema_pa,,9,2
2,schema_pa,schema_ic,2,2,schema_pa,,11,3
2,schema_pa,schema_ic,2,3,schema_pa,,2,5
2,schema_pa,schema_ic,2,4,schema_pa,near,9,6
2,schema_pa,schema_ic,2,5,schema_pa,near,7,10
2,schema_pa,schema_ic,2,6,schema_pa,,4,11
2,new_pa,schema_ic,1,1,new_pa,near,8,6
2,new_pa,schema_ic,1,2,new_pa,near,7,9
2,new_pa,schema_ic,1,3,new_pa,far,6,4
2,new_pa,schema_ic,1,4,new_pa,far,5,7
2,new_pa,schema_ic,1,5,new_pa,,3,3
2,new_pa,schema_ic,1,6,new_pa,,11,8
2,new_pa,schema_ic,1,1,schema_pa,,2,5
2,new_pa,schema_ic,1,2,schema_pa,,4,11
2,new_pa,schema_ic,1,3,schema_pa,near,7,10
2,new_pa,schema_ic,1,4,schema_pa,,9,2
2,new_pa,schema_ic,1,5,schema_pa,near,9,6
2,new_pa,schema_ic,1,6,schema_pa,,11,3
3,schema_pa,schema_c,1,1,schema_pa,,3,2
3,schema_pa,schema_c,1,2,schema_pa,near,7,3
3,schema_pa,schema_c,1,3,schema_pa,,11,5
3,schema_pa,schema_c,1,4,schema_pa,near,4,6
3,schema_pa,schema_c,1,5,schema_pa,,2,10
3,schema_pa,schema_c,1,6,schema_pa,,10,11
3,schema_pa,schema_c,2,1,schema_pa,,3,2
3,schema_pa,schema_c,2,2,schema_pa,near,7,3
3,schema_pa,schema_c,2,3,schema_pa,,11,5
3,schema_pa,schema_c,2,4,schema_pa,near,4,6
3,schema_pa,schema_c,2,5,schema_pa,,2,10
3,schema_pa,schema_c,2,6,schema_pa,,10,11
3,new_pa,schema_c,1,1,new_pa,near,7,4
3,new_pa,schema_c,1,2,new_pa,near,5,6
3,new_pa,schema_c,1,3,new_pa,far,8,7
3,new_pa,schema_c,1,4,new_pa,far,6,9
3,new_pa,schema_c,1,5,new_pa,,10,3
3,new_pa,schema_c,1,6,new_pa,,2,8
3,new_pa,schema_c,1,1,schema_pa,,3,2
3,new_pa,schema_c,1,2,schema_pa,near,7,3
3,new_pa,schema_c,1,3,schema_pa,,11,5
