FILENAME,Dataset,Nb inputs,Fq DKO,Fq DKN,Fq TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Familiarity Nb inputs,Familiarity Mean,Familiarity StDev,Visual complexity Nb inputs,Visual complexity Mean,Visual complexity StDev,Nb categories (answer1),Nb categories (answer2),Nb categories (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value
linedpaper,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Paper,15,0.35714285714285715,0.35714285714285715,13,2.979640877842372,42,4.9523809523809526,0.30860669992418466,42,1.5,0.7730206825239258,33,0,33,Stationary & school supply,33,0,1,1,0
frenchfries,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,fries,22,0.5238095238095238,0.5238095238095238,4,1.2693139552553756,42,4.928571428571429,0.2606611802150089,42,1.9523809523809523,1.0581249166050926,32,0,32,Food,32,0,1,1,0
toilet,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Toilet,38,0.9047619047619048,0.9047619047619048,3,0.5309809224687668,42,4.928571428571429,0.2606611802150089,42,2.238095238095238,1.1220522097657426,32,2,34,Skincare & bathroom item,24,1,0.75,0.7352941176470589,1.2876878900165245
candycane01a,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,candy cane,41,0.9761904761904762,0.9761904761904762,2,0.1623261801753929,42,4.904761904761905,0.2971017571861735,42,1.6904761904761905,0.9236221178016747,33,4,37,Food,30,1,0.9090909090909091,0.8378378378378378,0.5229784263810124
desktopcomputer,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,computer,28,0.6666666666666666,0.6666666666666666,10,1.8633750824918625,42,4.880952380952381,0.39523879490023917,42,2.857142857142857,1.3716898705776377,33,1,34,Electronic device & accessory,33,0,1,0.9705882352941176,0
fridge,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Fridge,30,0.7142857142857143,0.7142857142857143,4,1.1605068779874184,42,4.880952380952381,0.4527628438808461,42,1.7619047619047619,0.7261500150568166,33,4,37,Kitchen & utensil,21,2,0.6363636363636364,0.6216216216216216,1.3019762161101502
key07,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,keys,34,0.8095238095238095,0.8095238095238095,5,1.047471908330225,42,4.880952380952381,0.39523879490023917,41,1.951219512195122,1.0712427248806669,33,0,33,Household article & cleaner,19,0,0.5757575757575758,0.5757575757575758,2.0074123690628456
mug05,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Mug,21,0.5,0.5,4,1.720583272078973,42,4.880952380952381,0.3277700675615687,42,1.380952380952381,0.6967653820886335,33,0,33,Kitchen & utensil,29,0,0.8787878787878788,0.8787878787878788,0.7146532448524052
oven,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Stove,19,0.4523809523809524,0.4523809523809524,7,1.7685676357148583,42,4.880952380952381,0.5037605389507493,42,2.4285714285714284,1.1506701577110139,33,4,37,Kitchen & utensil,22,4,0.6666666666666666,0.7027027027027027,1.3547280568001576
exitsign,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,exit sign,40,0.9523809523809523,0.9523809523809523,3,0.3238144752669867,42,4.857142857142857,0.41739193556484017,42,1.6428571428571428,0.9581849857407256,32,2,34,Building infrastructure,17,1,0.53125,0.5294117647058824,2.2188548967005404
mattress,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,mattress,41,0.9761904761904762,0.9761904761904762,2,0.1623261801753929,42,4.857142857142857,0.4722250688807634,42,2.0476190476190474,0.9093653898798139,33,0,33,Furniture,30,0,0.9090909090909091,0.9090909090909091,0.5229784263810124
nosmokingsign,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,No smoking sign,38,0.9047619047619048,0.9047619047619048,4,0.5965734820440876,42,4.857142857142857,0.41739193556484017,42,1.4761904761904763,0.5942035143723493,33,2,35,Building infrastructure,14,0,0.42424242424242425,0.4,2.228860501684415
bicycle,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Bike,18,0.42857142857142855,0.42857142857142855,5,1.7419961510051263,42,4.833333333333333,0.4371005726021262,41,2.8780487804878048,1.435185039484796,32,7,39,Outdoor activity & sport item,16,7,0.5,0.5897435897435898,1
lightswitch01,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Light switch,41,0.9761904761904762,0.9761904761904762,2,0.1623261801753929,42,4.833333333333333,0.5372316876161185,42,1.6428571428571428,0.726549767366235,33,2,35,Electronic device & accessory,13,1,0.3939393939393939,0.4,1.9948474118186046
zipper,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,zipper,42,1,1,1,0,42,4.833333333333333,0.5372316876161185,42,2.142857142857143,1.2010448412950259,33,1,34,Clothing,31,0,0.9393939393939394,0.9117647058823529,0.39045213081320695
licenseplate,BOSS-2014 (v.2),41,0,0,1,0,0,0.024390243902439025,40,License Plate,34,0.8292682926829268,0.85,4,0.7975846798245739,41,4.829268292682927,0.3809487514345085,41,1.5365853658536586,0.7449013684914854,33,2,35,Vehicle,18,1,0.5454545454545454,0.5428571428571428,2.042616845844465
